"VendorNumber,VendorName_x,total_purchase_qty,total_purchase_cost,avg_unit_cost,total_freight,freight_ratio,VendorName_y,total_sales_qty,total_sales_revenue,avg_sales_price,gross_profit,sales_to_cost_ratio,gross_margin_pct"
"90047,CRUSH WINES                ,3628,40101.23,13.73603448275862,486.52,0.012132296191413578,CRUSH WINES                ,2523.0,41436.17,16.93655300222387,1334.939999999995,1.0332892532224072,3.2216780653231103"
"90051,FULCHINO VINEYARD INC      ,183,2280.21,12.555625,16.66,0.007306344591068366,FULCHINO VINEYARD INC      ,125.0,2123.75,17.002987012987013,-156.46000000000004,0.9313835129220555,-7.367157151265452"
"90052,HAUNTING WHISPER VYDS      ,71,561.8,7.911666666666666,8.23,0.01464934140263439,HAUNTING WHISPER VYDS      ,64.0,767.36,11.99,205.56000000000006,1.3658953364186546,26.787948290241875"
"90053,INCREDIBREW INC            ,441,3900.94,8.848108108108107,28.93,0.0074161612329336005,INCREDIBREW INC            ,225.0,2963.75,13.159811320754716,-937.19,0.7597527775356708,-31.621762969211304"
"90056,SWEET BABY VINEYARD        ,2433,20334.82,8.358142857142857,76.16,0.003745299933808118,SWEET BABY VINEYARD        ,1439.0,17956.61,12.450059171597633,-2378.209999999999,0.8830474034193566,-13.244203666504974"
"90057,WALPOLE MTN VIEW WINERY    ,134,1611.0,12.08,11.870000000000001,0.0073680943513345755,WALPOLE MTN VIEW WINERY    ,61.0,1045.8899999999999,17.244545454545452,-565.1100000000001,0.649217877094972,-54.03149470785649"
"90058,ZORVINO VINEYARDS          ,1540,12506.44,8.09686567164179,134.67,0.010768052299455318,ZORVINO VINEYARDS          ,1023.0,12548.27,12.12770053475936,41.82999999999993,1.003344676822501,0.3333527251166888"
"90059,BLACK COVE BEVERAGES       ,82,1290.6799999999998,15.74,0.0,0.0,BLACK COVE BEVERAGES       ,51.0,1019.49,19.99,-271.1899999999998,0.7898859515914093,-26.600555179550543"
"98450,Serralles Usa LLC          ,1610,26443.1,15.070372093023256,289.09999999999997,0.010932908773933464,Serralles Usa LLC          ,1058.0,20217.42,19.683907875185735,-6225.68,0.7645631563621511,-30.79364231440016"
"99166,STARK BREWING COMPANY      ,142,3041.64,21.42,41.09,0.013509159532357545,STARK BREWING COMPANY      ,123.0,3688.77,29.99,647.1300000000001,1.2127569337594193,17.543246122691304"
"172662,SWEETWATER FARM         ,192,3934.8199999999997,20.548,26.45,0.006722035569606742,SWEETWATER FARM         ,110.0,3128.3999999999996,28.360786516853928,-806.4200000000001,0.7950554282025607,-25.777394195115722"
"173357,TAMWORTH DISTILLING        ,398,8306.0,21.363,22.48,0.0027064772453647967,TAMWORTH DISTILLING        ,174.0,4748.26,26.829080459770115,-3557.74,0.5716662653503491,-74.92723650347706"
